(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page
(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page,(631) Zerethusta's Refined Fire Crystal Information Page

,Tier 1,Tier 1,Tier 1,,Tier 2,Tier 2,Tier 2,,Tier 3,Tier 3,Tier 3,,Tier 4,Tier 4,Tier 4,,Tier 5,Tier 5,Tier 5
,Cost,Return,Return %,,Cost,Return,Return %,,Cost,Return,Return %,,Cost,Return,Return %,,Cost,Return,Return %
,20,1,0.65,,50,2,0.85,,100,3,0.85,,130,3,0.75,,160,3,0.7
,,2,0.25,,,3,0.15,,,4,0.125,,,4,0.15,,,4,0.12
,,3,0.1,,,Expected Return,2.15,,,5,0.02,,,5,0.05,,,5,0.09
,,Expected Return,1.45,,,Return per FC,0.043,,,6,0.005,,,6,0.03,,,6,0.04
,,Return per FC,0.0725,,,Max Weekly Expected,43,,,Expected Return,3.1799999999999997,,,7,0.01,,,7,0.015
,,Max Weekly Expected,29,,,,,,,Return per FC,0.031799999999999995,,,8,0.005,,,8,0.01
,,,,,,,,,,Max Weekly Expected,63.599999999999994,,,9,0.005,,,9,0.01
,,,,,,,,,,,,,,Expected Return,3.435,,,10,0.005
,,,,,,,,,,,,,,Return per FC,0.026423076923076924,,,11,0.005
,,,,,,,,,,,,,,Max Weekly Expected,68.7,,,12,0.005
,,,,,,,,,,,,,,,,,,Expected Return,3.7099999999999995
,,,,,,,,,,,,,,,,,,Return per FC,0.023187499999999996
,,,,,,,,,,,,,,,,,,Max Weekly Expected,74.19999999999999

,Minimal Cost T1,Minimal Cost T1,Minimal Cost T1,,Minimal Cost T2,Minimal Cost T2,Minimal Cost T2,,Minimal Cost T3,Minimal Cost T3,Minimal Cost T3,,Minimal Cost T4,Minimal Cost T4,Minimal Cost T4,,Minimal Cost T4,Minimal Cost T4,Minimal Cost T4
,7 T1 (1x per day),7 T1 (1x per day),7 T1 (1x per day),,20 T1 day 1 + 6 T2 (1x per day ),20 T1 day 1 + 6 T2 (1x per day ),20 T1 day 1 + 6 T2 (1x per day ),,20 T1/T2 day 1 + 6 T3,20 T1/T2 day 1 + 6 T3,20 T1/T2 day 1 + 6 T3,,20 T1/T2/T3 day 1 + 6 T4,20 T1/T2/T3 day 1 + 6 T4,20 T1/T2/T3 day 1 + 6 T4,,20 T1/T2/T3 day 1 + 6 T4,20 T1/T2/T3 day 1 + 6 T4,20 T1/T2/T3 day 1 + 6 T4
,,Weekly Cost,70,,,Weekly Cost,540,,,Weekly Cost,1690,,,Weekly Cost,3780,,,Weekly Cost,6470
,,RFC per FC,0.14500000000000002,,,RFC per FC,0.07759259259259259,,,RFC per FC,0.053893491124260354,,,RFC per FC,0.04132539682539682,,,RFC per FC,0.035017001545595054
,,Expected Return,10.15,,,Expected Return,41.9,,,Expected Return,91.08,,,Expected Return,156.20999999999998,,,Expected Return,226.56

,Maximum Cost T1,Maximum Cost T1,Maximum Cost T1,,Maximum Cost T2,Maximum Cost T2,Maximum Cost T2,,Maximum Cost T3,Maximum Cost T3,Maximum Cost T3,,Maximum Cost T4,Maximum Cost T4,Maximum Cost T4,,Maximum Cost T5,Maximum Cost T5,Maximum Cost T5
,6 T1 (1x days 1-6),6 T1 (1x days 1-6),6 T1 (1x days 1-6),,20 T1 & 14 T2 (day 1),20 T1 & 14 T2 (day 1),20 T1 & 14 T2 (day 1),,"20 T1, T2 & 14 T3 (day 1)","20 T1, T2 & 14 T3 (day 1)","20 T1, T2 & 14 T3 (day 1)",,"20 T1, T2, T3 & 14 T4 (day 1)","20 T1, T2, T3 & 14 T4 (day 1)","20 T1, T2, T3 & 14 T4 (day 1)",,"20 T1, T2, T3, T4 & 14 T5 (day 1)","20 T1, T2, T3, T4 & 14 T5 (day 1)","20 T1, T2, T3, T4 & 14 T5 (day 1)"
,14 T1 (day 7),14 T1 (day 7),14 T1 (day 7),,1 T2 (days 2-7),1 T2 (days 2-7),1 T2 (days 2-7),,1 T3 (days 2-7),1 T3 (days 2-7),1 T3 (days 2-7),,1 T4 (days 2-7),1 T4 (days 2-7),1 T4 (days 2-7),,1 T5 (days 2-7),1 T5 (days 2-7),1 T5 (days 2-7)
,,Weekly Cost,330,,,Weekly Cost,1240,,,Weekly Cost,3090,,,Weekly Cost,5600,,,Weekly Cost,8710
,,RFC per FC,0.08787878787878788,,,RFC per FC,0.05806451612903226,,,RFC per FC,0.043883495145631064,,,RFC per FC,0.03648214285714286,,,RFC per FC,0.031974741676234215
,,Expected Return,29,,,Expected Return,72,,,Expected Return,135.6,,,Expected Return,204.3,,,Expected Return,278.5